name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2007 AUSA C200H	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095511&LP=MAT	20554381		6.500	3-7-2014 8:46:00	Netherlands
2007 AUSA CH200	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300523&LP=MAT	20456325		5.000	13-6-2013 2:56:00	Netherlands
2006 AUSA CH320	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300521&LP=MAT	43746096	3.644	4.750	13-6-2013 2:55:00	Netherlands
2004 AUSA CH320	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300513&LP=MAT	43737816	2.167	4.500	13-6-2013 2:55:00	Netherlands
2004 AUSA CH320	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300517&LP=MAT	43738371	3.590	4.500	13-6-2013 2:55:00	Netherlands
AUSA CT20	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9967323&LP=MAT	BCT151		3.250	8-5-2014 2:09:00	Netherlands
2008 AUSA D100AHA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095459&LP=MAT	70647622	1.031	5.000	3-7-2014 8:46:00	Netherlands
2007 AUSA D120AHA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9816219&LP=MAT	71057006	780	6.500	27-2-2014 2:07:00	Netherlands
2007 AUSA D120AHA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255707&LP=MAT	71055292	1.314	4.750	25-9-2014 2:01:00	Netherlands
2006 AUSA D120AHA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255705&LP=MAT	6F0965	1.138	4.750	25-9-2014 2:01:00	Netherlands
2005 AUSA D120AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9818907&LP=MAT	71241573	1.560	3.750	27-2-2014 2:07:00	Netherlands
2008 AUSA D150AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300415&LP=MAT	71259776	380	5.000	13-6-2013 2:40:00	Netherlands
2006 AUSA D201RHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9493817&LP=MAT	17850746		3.000	26-9-2013 4:07:00	Netherlands
2007 AUSA D201RHS	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10262501&LP=MAT	17654768	1.510	4.500	25-9-2014 2:01:00	Netherlands
2005 AUSA D250AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498135&LP=MAT	60142191	4.166	2.500	26-9-2013 4:03:00	Netherlands
